par_id,surface,start,end,wikidata,type,match,pattern
p3344_1,Giulio Cesare,543,556,Q1048,PER,exact,
p4523_1,Piritoi,407,414,Q502156,PER,levenshtein,Piritoo
p2759_2,Agamennone,1070,1080,Q128176,PER,exact,
p64_3,Algarotti,21,30,Q439081,PER,partial,Francesco Algarotti
p1201_2,Forcellini,32,42,Q550353,PER,partial,Egidio Forcellini
p961_1,Democrito,449,458,Q41980,PER,exact,
p961_1,Dionigi d'Alicarnasso,1821,1842,Q26204,PER,exact,
p961_1,Empedocle,544,553,Q83375,PER,exact,
p961_1,Erodoto,836,843,Q26825,PER,exact,
p961_1,Ippocrate,435,444,Q5264,PER,exact,
p961_1,Ippocrate,846,855,Q5264,PER,exact,
p961_1,Alessandro,1138,1148,Q8409,PER,partial,Alessandro il Conquistatore
p4148_12,Pougens Archéol,95,110,Q2960678,PER,partial,Charles de Pougens
p4413_1,Petr,685,689,Q1401,PER,levenshtein,Petrarca
p3198_1,Socrate,2807,2814,Q913,PER,exact,
p2344_2,Vossio,459,465,Q785925,PER,partial,Gerardo Giovanni Vossio
p3006_1,V. Forcellini,66,79,Q550353,PER,partial,Egidio Forcellini
p2255_1,Virgilii I.,447,458,Q1398,PER,levenshtein,Virgilius
p351_1,Aristotele,436,446,Q868,PER,exact,
p351_1,Teofrasto,31,40,Q160362,PER,exact,
p4295_1,Benjamin Franklin,368,385,Q34969,PER,exact,
p4295_1,Jules Renouard,412,426,Q16196551,PER,exact,
p4010_5,Ateneo,1359,1365,Q294923,PER,exact,
p4010_5,Fenice Colofonio,679,695,Q10287061,PER,exact,
p4010_5,Platone,1576,1583,Q859,PER,exact,
p4010_5,AElian,1286,1292,Q313782,PER,levenshtein,Eliano
p4010_5,Dalechampio,776,787,Q1230960,PER,levenshtein,Daléchamps
p4010_5,Dalechampio},1405,1417,Q1230960,PER,levenshtein,Daléchamps
p4076_3,Mercurio,2790,2798,Q1150,PER,exact,
p41_2,Metastasio,106,116,Q29473,PER,exact,
p41_2,Voltaire,339,347,Q9068,PER,exact,
p41_2,Calsabigi,150,159,Q1310912,PER,partial,Ranieri de’ Calsabigi
p2460_1,Petrarca,190,198,Q1401,PER,exact,
p2460_1,Stefano,1118,1125,Q260921,PER,partial,Roberto Stefano
p2460_1,Sabio,1327,1332,Q24202435,PER,partial,Ioannes Antonius de Nicolinis de Sabio
